year,value
1913,24.78
1914,24.28
1915,24.04
1916,23.35
1917,20.76
1918,17.35
1919,14.72
1920,12.58
1921,12.78
1922,14.37
1923,14.45
1924,14.04
1925,14.04
1926,13.57
1927,13.88
1928,14.04
1929,14.20
1930,14.20
1931,15.27
1932,16.98
1933,18.82
1934,18.40
1935,17.86
1936,17.60
1937,17.22
1938,17.10
1939,17.35
1940,17.47
1941,17.22
1942,15.47
1943,14.37
1944,13.96
1945,13.64
1946,13.34
1947,11.29
1948,10.25
1949,10.12
1950,10.33
1951,9.56
1952,9.16
1953,9.13
1954,9.03
1955,9.10
1956,9.06
1957,8.80
1958,8.49
1959,8.37
1960,8.29
1961,8.15
1962,8.09
1963,7.99
1964,7.86
1965,7.78
1966,7.64
1967,7.38
1968,7.12
1969,6.82
1970,6.42
1971,6.10
1972,5.91
1973,5.70
1974,5.21
1975,4.66
1976,4.37
1977,4.15
1978,3.89
1979,3.56
1980,3.12
1981,2.79
1982,2.58
1983,2.48
1984,2.38
1985,2.30
1986,2.22
1987,2.18
1988,2.10
1989,2.01
1990,1.91
1991,1.80
1992,1.76
1993,1.70
1994,1.66
1995,1.62
1996,1.57
1997,1.53
1998,1.50
1999,1.48
2000,1.44
2001,1.39
2002,1.37
2003,1.34
2004,1.31
2005,1.27
2006,1.22
2007,1.20
2008,1.15
2009,1.15
2010,1.12
2011,1.10
2012,1.07
2013,1.05
2014,1.04
2015,1.04
2016,1.03
